supplier_id,supplier_name,supplier_type,city,state,country,status
SUP0074,Reliable Manufacturing 74,Distributor,Jaipur,Rajasthan,India,Active
SUP0075,Pioneer Industrial 75,Wholesaler,Indore,Madhya Pradesh,India,Active
SUP0076,Sterling Components 76,Manufacturer,Mumbai,Maharashtra,India,Active
SUP0077,Dynamic Materials 77,Distributor,Pune,Maharashtra,India,Active
SUP0078,Evergreen Supplies 78,Wholesaler,Nashik,Maharashtra,India,Active
SUP0079,Zenith Engineering 79,Manufacturer,Ahmedabad,Gujarat,India,Active
SUP0080,BluePeak Industries 80,Distributor,Vadodara,Gujarat,India,On Hold
SUP0081,Apex Components 81,Wholesaler,Surat,Gujarat,India,Active
SUP0082,Bharat Industrial Supplies 82,Manufacturer,Delhi,Delhi,India,Active
SUP0083,Nova Manufacturing 83,Distributor,Noida,Uttar Pradesh,India,Active
SUP0084,Prime Source Solutions 84,Wholesaler,Gurugram,Haryana,India,Active
SUP0085,Vertex Engineering 85,Manufacturer,Bengaluru,Karnataka,India,Active
SUP0086,Shakti Components 86,Distributor,Chennai,Tamil Nadu,India,Active
SUP0087,Trinity Industrial 87,Wholesaler,Hyderabad,Telangana,India,Active
SUP0088,Sapphire Supply Co 88,Manufacturer,Kolkata,West Bengal,India,Active
SUP0089,Orbit Materials 89,Distributor,Jaipur,Rajasthan,India,Active
SUP0090,Precision Parts India 90,Wholesaler,Indore,Madhya Pradesh,India,On Hold
SUP0091,Metro Industrial Goods 91,Manufacturer,Mumbai,Maharashtra,India,Active
SUP0092,Eastern Components 92,Distributor,Pune,Maharashtra,India,Active
SUP0093,Western Supply Solutions 93,Wholesaler,Nashik,Maharashtra,India,Active
SUP0094,Reliable Manufacturing 94,Manufacturer,Ahmedabad,Gujarat,India,Active
SUP0095,Pioneer Industrial 95,Distributor,Vadodara,Gujarat,India,Active
SUP0096,Sterling Components 96,Wholesaler,Surat,Gujarat,India,Active
SUP0097,Dynamic Materials 97,Manufacturer,Delhi,Delhi,India,Active
SUP0098,Evergreen Supplies 98,Distributor,Noida,Uttar Pradesh,India,Active
SUP0099,Zenith Engineering 99,Wholesaler,Gurugram,Haryana,India,Active
SUP0100,BluePeak Industries 100,Manufacturer,Bengaluru,Karnataka,India,On Hold
